usuario_temp,origen_plataforma,IP_usuario,tiempo_en_pagina,fecha_hora,Localizacion,programa_oferta_click,Id_usuario,Dispositivo,Matriculado
TEMP_000001,Google,45.213.75.93,68,2024-03-03 11:46:25,"Barcelona, España",C0011,,mobile,False
TEMP_000002,LinkedIn,163.72.1.82,60,2025-08-23 15:12:05,"Málaga, España",C0014,U00202,tablet,False
TEMP_000003,LinkedIn,175.108.182.18,193,2025-01-03 16:58:43,"Valparaíso, Chile",C0019,U00630,mobile,False
TEMP_000004,Google Ads,66.60.16.165,60,2025-07-03 07:50:27,"Zaragoza, España",C0015,,desktop,False
TEMP_000005,Instagram,54.120.253.63,502,2024-12-15 19:22:46,"Barcelona, España",C0001,,mobile,False
TEMP_000006,LinkedIn,50.238.91.76,773,2025-03-26 17:32:26,"Madrid, España",C0014,,desktop,False
TEMP_000007,Google,184.33.96.51,33,2024-11-10 13:13:53,"Barcelona, España",C0012,,desktop,False
TEMP_000008,Instagram,228.75.145.133,172,2024-02-14 17:16:37,"Sevilla, España",C0001,,mobile,False
TEMP_000009,Google Ads,126.16.67.218,30,2024-04-25 10:45:04,"Sevilla, España",C0022,,desktop,False
TEMP_000010,Google,140.224.143.81,139,2025-11-09 18:40:46,"Guadalajara, México",,,mobile,False
TEMP_000011,LinkedIn,89.198.60.153,457,2025-06-15 12:11:29,"Medellín, Colombia",C0022,U00688,tablet,False
TEMP_000012,LinkedIn,239.216.99.71,258,2024-01-31 08:44:40,"Barcelona, España",C0020,,mobile,False
TEMP_000013,LinkedIn,159.156.184.19,10,2025-10-06 21:44:24,"París, Francia",,,desktop,False
TEMP_000014,Google,138.2.253.223,60,2024-08-15 11:04:28,"Madrid, España",C0008,,mobile,False
TEMP_000015,Instagram,189.75.191.114,191,2025-07-10 07:11:41,"Zaragoza, España",,,desktop,False
TEMP_000016,Google,166.59.121.223,250,2024-11-28 09:33:40,"Barcelona, España",C0005,,mobile,False
TEMP_000017,Instagram,49.98.74.46,338,2025-10-19 17:26:37,"Arequipa, Perú",C0023,,desktop,False
TEMP_000018,Instagram,102.155.14.53,60,2025-05-04 10:46:49,"Valparaíso, Chile",C0014,,mobile,False
TEMP_000019,LinkedIn,209.66.85.171,179,2024-10-31 11:48:53,"Arequipa, Perú",C0007,,mobile,False
TEMP_000020,LinkedIn,191.245.40.192,59,2024-07-20 15:38:08,"Santiago, Chile",C0021,,tablet,False
TEMP_000021,Instagram,185.31.224.80,18,2025-08-05 00:11:47,"Zaragoza, España",,,mobile,False
TEMP_000022,Instagram,108.203.134.70,360,2025-07-04 14:28:42,"Cali, Colombia",C0009,,mobile,False
TEMP_000023,Google Ads,83.189.46.120,153,2024-07-12 12:46:30,"Madrid, España",,,desktop,False
TEMP_000024,LinkedIn,191.226.211.92,60,2025-02-01 07:14:06,"Rosario, Argentina",C0005,,mobile,False
TEMP_000025,Google,51.239.152.104,60,2024-11-03 12:40:51,"Santiago, Chile",C0015,U00156,tablet,True
TEMP_000026,LinkedIn,230.185.121.50,113,2025-01-30 16:34:38,"Bilbao, España",C0010,,mobile,False
TEMP_000027,Google,21.135.29.79,263,2025-01-30 13:33:47,"Bilbao, España",C0026,,tablet,False
TEMP_000028,LinkedIn,174.3.253.112,261,2024-07-31 02:20:26,"Zaragoza, España",C0006,,tablet,False
TEMP_000029,Google,222.44.117.244,436,2025-11-17 11:12:59,"Ciudad de México, México",C0029,,mobile,False
TEMP_000030,LinkedIn,162.206.175.188,157,2025-08-19 09:49:03,"Sevilla, España",C0017,,mobile,False
TEMP_000031,LinkedIn,93.116.12.66,60,2025-08-21 10:16:26,"Madrid, España",C0024,,desktop,False
TEMP_000032,Instagram,17.83.185.52,365,2025-04-07 13:30:47,"Málaga, España",C0024,U00369,desktop,False
TEMP_000033,Instagram,123.141.41.207,60,2025-11-27 11:39:25,"Lima, Perú",C0003,U00539,mobile,False
TEMP_000034,Instagram,197.47.9.2,618,2025-07-23 08:20:01,"Monterrey, México",C0014,,mobile,False
TEMP_000035,Instagram,75.32.4.118,219,2024-03-15 15:05:41,"Zaragoza, España",C0021,U00588,mobile,False
TEMP_000036,Google Ads,134.4.153.103,120,2024-11-18 08:54:30,"París, Francia",C0005,,desktop,False
TEMP_000037,LinkedIn,52.28.194.28,100,2025-10-17 15:09:29,"Málaga, España",C0014,,desktop,False
TEMP_000038,Instagram,52.182.161.254,408,2024-11-07 11:14:18,"Milán, Italia",C0009,,mobile,False
TEMP_000039,Google Ads,11.49.169.59,10,2025-04-22 10:37:57,"Roma, Italia",C0025,,mobile,False
TEMP_000040,Google,98.75.206.200,48,2024-03-02 07:20:57,"Madrid, España",C0028,,desktop,False
TEMP_000041,Instagram,206.129.124.145,373,2024-09-13 15:54:27,"Medellín, Colombia",C0012,,tablet,False
TEMP_000042,Instagram,18.139.70.239,900,2024-07-04 21:15:46,"Madrid, España",C0028,,mobile,False
TEMP_000043,LinkedIn,47.8.246.41,418,2024-07-01 12:43:44,"Ciudad de México, México",C0029,,mobile,False
TEMP_000044,Instagram,132.97.68.124,280,2024-07-09 06:26:54,"Barcelona, España",C0009,,mobile,False
TEMP_000045,Instagram,187.29.169.227,107,2024-03-30 08:27:43,"Málaga, España",C0017,,desktop,False
TEMP_000046,Google,75.173.235.237,60,2024-08-01 13:32:10,"Barcelona, España",C0006,U0074,mobile,False
TEMP_000047,Google Ads,166.240.198.131,900,2024-11-19 16:51:29,"Madrid, España",C0006,,mobile,False
TEMP_000048,LinkedIn,33.218.73.188,60,2025-05-17 11:18:37,"Bilbao, España",,,desktop,False
TEMP_000049,LinkedIn,165.92.198.167,581,2024-04-08 14:35:37,"Valparaíso, Chile",C0023,,mobile,False
TEMP_000050,Instagram,191.243.70.195,60,2024-02-29 11:47:02,"Madrid, España",,,mobile,False
TEMP_000051,Instagram,11.181.39.57,60,2024-05-05 10:29:39,"Valparaíso, Chile",C0015,,mobile,False
TEMP_000052,Instagram,50.212.95.99,266,2024-04-11 06:10:35,"Monterrey, México",C0010,,mobile,False
TEMP_000053,Google,93.159.234.173,318,2025-07-08 19:10:59,"Valencia, España",C0022,,mobile,False
TEMP_000054,Instagram,26.131.27.43,60,2025-02-10 10:36:35,"Madrid, España",C0019,,mobile,False
TEMP_000055,Google Ads,51.178.224.63,30,2024-07-25 21:01:25,"Valencia, España",C0005,U00699,mobile,True
TEMP_000056,Instagram,241.67.78.33,253,2024-12-03 16:03:04,"Málaga, España",C0007,,mobile,False
TEMP_000057,LinkedIn,12.158.104.30,100,2024-07-11 12:29:26,"Rosario, Argentina",C0027,,tablet,False
TEMP_000058,Instagram,144.88.100.226,60,2025-10-17 13:32:28,"Bilbao, España",,,tablet,False
TEMP_000059,Google,103.115.175.228,83,2025-07-18 10:16:32,"Barcelona, España",C0001,,mobile,False
TEMP_000060,LinkedIn,189.126.78.46,293,2024-12-29 11:17:01,"Guadalajara, México",C0018,,desktop,False
TEMP_000061,LinkedIn,32.194.188.90,12,2024-09-11 18:49:32,"Madrid, España",C0011,,mobile,False
TEMP_000062,Instagram,240.247.158.67,35,2024-04-08 13:18:06,"Zaragoza, España",C0012,,tablet,False
TEMP_000063,Google,130.210.129.126,60,2025-04-10 09:40:14,"Barcelona, España",C0008,,tablet,False
TEMP_000064,Google Ads,136.215.105.47,296,2025-04-05 15:56:46,"Valparaíso, Chile",C0015,,desktop,False
TEMP_000065,Instagram,132.162.239.29,278,2024-08-12 19:06:58,"Oporto, Portugal",C0029,,desktop,False
TEMP_000066,LinkedIn,241.206.181.60,323,2024-06-09 03:08:33,"Cali, Colombia",C0001,U00430,mobile,True
TEMP_000067,Instagram,53.109.46.167,141,2025-01-17 17:22:27,"Valencia, España",C0006,,mobile,False
TEMP_000068,Instagram,192.122.177.198,64,2025-07-18 10:12:57,"Barcelona, España",C0023,,mobile,False
TEMP_000069,Google Ads,233.176.59.34,90,2025-03-19 12:17:54,"Guadalajara, México",C0023,,mobile,False
TEMP_000070,Instagram,240.198.217.108,347,2024-06-27 20:10:09,"Valparaíso, Chile",C0002,,desktop,False
TEMP_000071,Google,41.153.163.56,245,2025-01-07 11:02:58,"Ciudad de México, México",C0030,,mobile,False
TEMP_000072,Google Ads,120.108.66.208,761,2025-11-24 18:05:44,"Barcelona, España",C0027,,mobile,False
TEMP_000073,Google,124.237.0.239,60,2025-08-14 18:53:06,"Buenos Aires, Argentina",C0012,,desktop,False
TEMP_000074,LinkedIn,169.179.73.21,180,2024-12-28 10:01:46,"Málaga, España",C0026,,desktop,False
TEMP_000075,Google,60.113.86.50,70,2024-08-22 11:39:53,"Rosario, Argentina",C0025,,desktop,False
